Plot,Rep,Trt,PREC1CRAG,PREC2CRAG,PRES1CRAG,PRES2CRAG,PREC1LQ,PREC2LQ,PRES1LQ,PRES2LQ,PREC1NS,PREC2NS,PRES1NS,PRES2NS,PREC1LT,PREC2LT,PRES1LT,PRES2LT,PREC1GAL,PREC2GAL,PRES1GAL,PRES2GAL,PREC1GRAS,PREC2GRAS,PRES1GRAS,PRES2GRAS,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,NOCRUNCH1,CRUNCH1,NOCRUNCH2,CRUNCH2,NOCRUNCH3,CRUNCH3,NOCRUNCH4,CRUNCH4,NOCRUNCH5,CRUNCH5,NOCRUNCH6,CRUNCH6,NOCRUNCH7,CRUNCH7,NOCRUNCH8,CRUNCH8,NOCRUNCH9,CRUNCH9,NOCRUNCH10,CRUNCH10,Ryewt,Mort0DAT,NumPop0DAT,PopDist0DAT,Mort7DAT,NumPop7DAT,PopDist7DAT,Mort14DAT,NumPop14DAT,PopDist14DAT,Mort21DAT,NumPop21DAT,PopDist21DAT,Mort28DAT,NumPop28DAT,PopDist28DAT,28DATC1CRAG,28DATC2CRAG,28DATS1CRAG,28DATS2CRAG,28DATC1LQ,28DATC2LQ,28DATS1LQ,28DATS2LQ,28DATC1NS,28DATC2NS,28DATS1NS,28DATS2NS,28DATC1LT,28DATC2LT,28DATS1LT,28DATS2LT,28DATC1PIG,28DATC2PIG,28DATS1PIG,28DATS2PIG,28DATC1GAL,28DATC2GAL,28DATS1GAL,28DATS2GAL,28DATC1SCRAB,28DATC2SCRAB,28DATS1SCRAB,28DATS2SCRAB,28DATC1LCRAB,28DATC2LCRAB,28DATS1LCRAB,28DATS2LCRAB,28DATC1FP,28DATC2FP,28DATS1FP,28DATS2FP,28DATC1STK,28DATC2STK,28DATS1STK,28DATS2STK,28DATC1BARN,28DATC2BARN,28DATS1BARN,28DATS2BARN,28DATC1YF,28DATC2YF,28DATS1YF,28DATS2YF,Stand,Injury7DAP,Injury14DAP,Injury21DAP,Injury28DAP,TomMass,TomMassR,CRAGnum,CRAGwt,LQnum,LQwt,NSnum,NSwt,LTnum,LTwt,GALnum,GALwt,PIGnum,PIGwt,CRABnum,CRABwt,Fpnum,FPwt,BARNnum,BARNwt,YFnum,YFwt,STKnum,STKwt,GFnum,GFwt
111,1,Std+O3,0,0,,,5,4,2-5cm,2-6cm,0,0,,,3,0,3-6cm,,11,10,c-4lf,c-4lf,20,27,2lf,2lf,9,8,3,6,7,7,5,1,12,7,5.6,1.2,4,0.7,5.6,1.1,5.4,1.2,4.5,0.8,4,1.1,3,0.5,4.2,0.9,4.7,0.9,5.2,0.9,136.2,,1,,20,20,100,75,15,100,80,20,010,100,50,010,,,,,,3,,15cm,1,,6cm,,7,,12cm,,,,,,2,6,10cm,25cm,,,,,3,,t,,5,,t,,,,,,,,,,,,,,38,,0,10,80,19.83,3.72,,,4,9.93,1,7.64,5,40.27,4,6.68,,,24,13.05,32,36.59,,,,,,,,
112,1,Early+O1,0,1,,10cm,0,2,,5cm,0,0,,,7,4,2-8cm,2-12cm,9,24,c-3cm,c-3cm,25,40,2lf,2lf,8,9,6,9,4,7,9,6,8,7,4.6,1,4.5,1.3,3.1,0.8,3.8,0.7,3.8,0.6,4.2,1,5.3,1,4.4,0.9,32,0.5,4.5,0.9,145.7,,0,,20,10,100,75,10,100,85,20,010,100,50,010,,,,,,,,,,,,,8,2,20cm,12cm,,,,,4,1,15cm,15cm,,2,,t,,12,,t,,14,,t,,,,,,,,,,,,,30,,0,20,90,4.34,1.35,,,1,15.78,,,11,98.56,1,2.95,,,4,1.5,32,39.39,,,,,1,0.04,,
113,1,Early+O2,1,0,8cm,,8,0,2-5lf,,15,0,c-4lf,,8,11,2-4lf,2-5lf,5,6,c-2lf,2-4lf,80,41,1-3lf,1-2lf,5,5,7,5,9,4,7,6,9,5,3.7,1,4.3,0.8,3.1,0.6,3.4,0.5,3,0.9,5.3,0.9,2.5,0.6,4.4,0.7,3.8,0.6,4.2,1.1,167.4,,1,,30,5,100,80,5,010,85,30,010,100,50,010,,1,,30cm,,2,,10cm,,2,,5cm,7,5,10cm,10cm,,,,,2,,15cm,,,3,,t,6,1,t,t,4,5,t,t,,,,,,,,,,,,,40,,0,20,90,20.83,2.7,,,3,12.37,3,2.05,3,18.6,,,,,17,9.17,23,20.71,,,,,,,,
114,1,Early+O3,0,0,,,0,0,,,0,0,,,9,4,2-4cm,2-8cm,1,6,4lf,c-4lf,10,16,2lf,2lf,3,7,5,5,5,6,8,5,8,10,4.7,0.8,3.3,0.7,4,0.6,4.1,1,3.7,0.6,4.4,0.9,3.8,0.7,4.2,0.7,4,0.9,3.6,0.6,173.4,,0,,30,5,100,80,5,100,85,30,010,100,70,010,,,,,,1,,12cm,,,,,4,2,15cm,8cm,,,,,4,,15cm,,,2,,t,12,5,t,t,10,8,t,t,,,,,,,,,,,,,41,,0,5,90,29.29,6.04,,,1,6.53,,,2,4.51,,,,,47,59.38,17,39.27,,,,,,,,
201,2,Early2,11,38,2-10cm,4-16cm,5,6,2-6lf,2-6lf,2,0,2lf,,0,0,,,0,0,,,4,5,2lf,2lf,9,4,6,6,7,5,11,4,4,4,4.8,1,4.2,1.1,4,0.6,4.6,1.2,5,1.3,4.2,0.8,4,0.8,5,2.1,4.5,0.7,5.3,1.6,113.7,,8,,5,5,010,50,10,010,80,30,010,100,30,010,13,14,30cm,25cm,2,3,5cm,10cm,,,,,,,,,,,,,,,,,2,,t,,7,5,t,t,,,,,,,,,,,,,,,,,36,,0,20,80,8.58,1.51,25,332.57,1,0.83,,,,,,,,,16,4.94,2,1.86,,,,,,,,
202,2,WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,0,0,0,120.72,10,,,,,,,,,,,,,,,,,,,,,,,,
203,2,Std1,2,5,4-6cm,4-7cm,1,8,8cm,2-5cm,23,3,c-4lf,c-4lf,5,3,2-6cm,3-5cm,0,0,,,14,5,2lf,2lf,3,8,9,3,7,3,6,6,3,5,5.3,1.6,4.9,1.2,4.1,0.8,4.6,0.6,5.2,2.1,4,0.8,6.3,4.2,5.4,1.3,6,2.4,5.5,1,114.9,,40,,5,40,010,5,60,010,80,30,010,100,20,010,3,7,50cm,40cm,2,4,40cm,60cm,,,,,4,2,30cm,25cm,1,,15cm,,,,,,,,,,6,4,t,t,,,,,,,,,,,,,,,,,23,,0,20,80,6.19,1.72,8,504.3,6,111.42,2,4.36,9,38.8,,,,,12,8.73,1,1.44,,,,,,,,
204,2,Std+O3,0,0,,,2,5,1-4cm,1-7cm,6,4,c-4lf,c-6lf,0,2,,1-5cm,1,1,4lf,2lf,3,3,2lf,2lf,4,5,1,9,3,7,5,5,10,6,6.2,1.1,5.1,0.9,5.1,1.1,4,0.5,5.3,1.7,4.6,1,5.4,1.5,3.8,0.7,4.9,0.8,4.8,1,132.9,,10,,5,40,100,40,40,010,80,30,010,100,40,010,,,,,2,2,25cm,10cm,,,,,,4,,10cm,,,,,,,,,,,,,7,12,t,t,1,5,t,t,,,,,,,,,,,,,40,,0,5,50,20.23,3.53,,,2,116.66,,,,,,,,,34,183.44,4,13.57,,,,,,,,
205,2,W,2,0,6-8cm,,6,8,5-12cm,10-20cm,23,20,2-6lf,2-6lf,1,1,15cm,5cm,0,1,,c,58,14,1-2lf,1-2lf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4cm,10cm,,,,,,,,,1,,15cm,,,,,,,1,,t,15,7,t,t,,,,,,,,,,,,,,,,,38,,0,5,10,74.58,4.42,1,25.45,2,21.37,1,4.92,,,,,2,112.25,35,250.14,2,12.14,,,,,,,,
206,2,Std+O1,0,0,,,3,16,4-7cm,3-8cm,0,10,,c-4lf,0,1,,7cm,1,0,4lf,,4,10,2-4lf,2lf,5,8,5,4,25,13,33,8,12,10,4.8,1.6,6.1,1.3,5.1,1.3,4.4,0.8,5.4,1.9,4,0.8,4.7,1.6,5.7,1.1,6.2,2,5.8,1.5,118.1,,6,,5,30,100,10,50,010,80,20,010,100,20,010,,,,,12,2,27cm,30cm,,,,,5,1,25cm,25cm,,,,,,,,,,,,,3,4,t,t,1,3,t,t,,,,,,,,,,,,,41,,0,10,60,11.83,3.57,,,15,243.53,,,6,61.38,,,,,18,27.1,2,2.32,,,2,3.51,,,,
